Date,DailyCases,CumulativeCases,Deaths,PCROnly,PCROnlyCumulative,LFDOnly,LFDOnlyCumulative,LFDAndPCR,LFDAndPCRCumulative
2020-02-28,1,1,0,,,,,,
2020-02-29,0,1,0,,,,,,
2020-03-01,2,3,0,,,,,,
2020-03-02,1,4,0,,,,,,
2020-03-03,3,7,0,,,,,,
2020-03-04,6,13,0,,,,,,
2020-03-05,2,15,0,,,,,,
2020-03-06,6,21,0,,,,,,
2020-03-07,6,27,0,,,,,,
2020-03-08,3,30,0,,,,,,
2020-03-09,16,46,0,,,,,,
2020-03-10,21,67,0,,,,,,
2020-03-11,25,92,0,,,,,,
2020-03-12,38,130,1,,,,,,
2020-03-13,48,178,1,,,,,,
2020-03-14,19,197,3,,,,,,
2020-03-15,12,209,3,,,,,,
2020-03-16,21,230,4,,,,,,
2020-03-17,43,273,6,,,,,,
2020-03-18,41,314,6,,,,,,
2020-03-19,50,364,9,,,,,,
2020-03-20,84,448,14,,,,,,
2020-03-21,67,515,20,,,,,,
2020-03-22,74,589,25,,,,,,
2020-03-23,138,727,29,,,,,,
2020-03-24,167,894,36,,,,,,
2020-03-25,188,1082,47,,,,,,
2020-03-26,223,1305,59,,,,,,
2020-03-27,274,1579,70,,,,,,
2020-03-28,204,1783,99,,,,,,
2020-03-29,197,1980,119,,,,,,
2020-03-30,317,2297,149,,,,,,
2020-03-31,341,2638,187,,,,,,
2020-04-01,389,3027,233,,,,,,
2020-04-02,351,3378,269,,,,,,
2020-04-03,381,3759,327,,,,,,
2020-04-04,261,4020,355,,,,,,
2020-04-05,225,4245,402,,,,,,
2020-04-06,404,4649,465,,,,,,
2020-04-07,352,5001,514,,,,,,
2020-04-08,343,5344,568,,,,,,
2020-04-09,304,5648,634,,,,,,
2020-04-10,329,5977,692,,,,,,
2020-04-11,185,6162,742,,,,,,
2020-04-12,220,6382,790,,,,,,
2020-04-13,359,6741,831,,,,,,
2020-04-14,346,7087,882,,,,,,
2020-04-15,331,7418,924,,,,,,
2020-04-16,428,7846,967,,,,,,
2020-04-17,394,8240,1005,,,,,,
2020-04-18,264,8504,1057,,,,,,
2020-04-19,159,8663,1103,,,,,,
2020-04-20,348,9011,1164,,,,,,
2020-04-21,400,9411,1215,,,,,,
2020-04-22,340,9751,1261,,,,,,
2020-04-23,314,10065,1310,,,,,,
2020-04-24,306,10371,1348,,,,,,
2020-04-25,184,10555,1396,,,,,,
2020-04-26,171,10726,1439,,,,,,
2020-04-27,434,11160,1499,,,,,,
2020-04-28,383,11543,1539,,,,,,
2020-04-29,431,11974,1577,,,,,,
2020-04-30,337,12311,1620,,,,,,
2020-05-01,375,12686,1668,,,,,,
2020-05-02,222,12908,1712,,,,,,
2020-05-03,188,13096,1749,,,,,,
2020-05-04,329,13425,1789,,,,,,
2020-05-05,288,13713,1839,,,,,,
2020-05-06,307,14020,1882,,,,,,
2020-05-07,297,14317,1922,,,,,,
2020-05-08,258,14575,1956,,,,,,
2020-05-09,180,14755,1990,,,,,,
2020-05-10,153,14908,2018,,,,,,
2020-05-11,265,15173,2050,,,,,,
2020-05-12,230,15403,2081,,,,,,
2020-05-13,198,15601,2123,,,,,,
2020-05-14,211,15812,2158,,,,,,
2020-05-15,151,15963,2184,,,,,,
2020-05-16,103,16066,2213,,,,,,
2020-05-17,93,16159,2239,,,,,,
2020-05-18,141,16300,2262,,,,,,
2020-05-19,182,16482,2290,,,,,,
2020-05-20,121,16603,2312,,,,,,
2020-05-21,111,16714,2336,,,,,,
2020-05-22,91,16805,2353,,,,,,
2020-05-23,50,16855,2364,,,,,,
2020-05-24,53,16908,2372,,,,,,
2020-05-25,96,17004,2386,,,,,,
2020-05-26,478,17482,2400,,,,,,
2020-05-27,66,17548,2416,,,,,,
2020-05-28,55,17603,2432,,,,,,
2020-05-29,30,17633,2443,,,,,,
2020-05-30,40,17673,2449,,,,,,
2020-05-31,23,17696,2455,,,,,,
2020-06-01,38,17734,2458,,,,,,
2020-06-02,46,17780,2464,,,,,,
2020-06-03,34,17814,2472,,,,,,
2020-06-04,35,17849,2473,,,,,,
2020-06-05,24,17873,2482,,,,,,
2020-06-06,22,17895,2485,,,,,,
2020-06-07,17,17912,2492,,,,,,
2020-06-08,18,17930,2498,,,,,,
2020-06-09,27,17957,2499,,,,,,
2020-06-10,29,17986,2504,,,,,,
2020-06-11,21,18007,2506,,,,,,
2020-06-12,30,18037,2508,,,,,,
2020-06-13,22,18059,2511,,,,,,
2020-06-14,13,18072,2515,,,,,,
2020-06-15,21,18093,2518,,,,,,
2020-06-16,17,18110,2524,,,,,,
2020-06-17,33,18143,2527,,,,,,
2020-06-18,14,18157,2530,,,,,,
2020-06-19,24,18181,2530,,,,,,
2020-06-20,6,18187,2533,,,,,,
2020-06-21,9,18196,2535,,,,,,
2020-06-22,10,18206,2538,,,,,,
2020-06-23,20,18226,2539,,,,,,
2020-06-24,8,18234,2540,,,,,,
2020-06-25,19,18253,2540,,,,,,
2020-06-26,6,18259,2540,,,,,,
2020-06-27,4,18263,2544,,,,,,
2020-06-28,3,18266,2545,,,,,,
2020-06-29,14,18280,2546,,,,,,
2020-06-30,8,18288,2546,,,,,,
2020-07-01,11,18299,2546,,,,,,
2020-07-02,13,18312,2546,,,,,,
2020-07-03,6,18318,2547,,,,,,
2020-07-04,5,18323,2547,,,,,,
2020-07-05,2,18325,2548,,,,,,
2020-07-06,8,18333,2548,,,,,,
2020-07-07,11,18344,2548,,,,,,
2020-07-08,10,18354,2548,,,,,,
2020-07-09,8,18362,2548,,,,,,
2020-07-10,12,18374,2548,,,,,,
2020-07-11,9,18383,2548,,,,,,
2020-07-12,2,18385,2548,,,,,,
2020-07-13,18,18403,2548,,,,,,
2020-07-14,10,18413,2548,,,,,,
2020-07-15,16,18429,2548,,,,,,
2020-07-16,21,18450,2548,,,,,,
2020-07-17,8,18458,2548,,,,,,
2020-07-18,13,18471,2548,,,,,,
2020-07-19,17,18488,2548,,,,,,
2020-07-20,13,18501,2548,,,,,,
2020-07-21,19,18520,2548,,,,,,
2020-07-22,16,18536,2548,,,,,,
2020-07-23,23,18559,2548,,,,,,
2020-07-24,11,18570,2548,,,,,,
2020-07-25,3,18573,2549,,,,,,
2020-07-26,7,18580,2549,,,,,,
2020-07-27,13,18593,2549,,,,,,
2020-07-28,22,18615,2549,,,,,,
2020-07-29,28,18643,2549,,,,,,
2020-07-30,27,18670,2549,,,,,,
2020-07-31,21,18691,2549,,,,,,
2020-08-01,22,18713,2549,,,,,,
2020-08-02,19,18732,2549,,,,,,
2020-08-03,60,18792,2549,,,,,,
2020-08-04,57,18849,2549,,,,,,
2020-08-05,64,18913,2549,,,,,,
2020-08-06,62,18975,2549,,,,,,
2020-08-07,46,19021,2549,,,,,,
2020-08-08,27,19048,2549,,,,,,
2020-08-09,26,19074,2549,,,,,,
2020-08-10,57,19131,2549,,,,,,
2020-08-11,64,19195,2549,,,,,,
2020-08-12,48,19243,2549,,,,,,
2020-08-13,52,19295,2549,,,,,,
2020-08-14,50,19345,2549,,,,,,
2020-08-15,20,19365,2549,,,,,,
2020-08-16,30,19395,2549,,,,,,
2020-08-17,72,19467,2549,,,,,,
2020-08-18,77,19544,2549,,,,,,
2020-08-19,91,19635,2550,,,,,,
2020-08-20,140,19775,2550,,,,,,
2020-08-21,90,19865,2550,,,,,,
2020-08-22,47,19912,2551,,,,,,
2020-08-23,65,19977,2552,,,,,,
2020-08-24,60,20037,2552,,,,,,
2020-08-25,69,20106,2552,,,,,,
2020-08-26,97,20203,2552,,,,,,
2020-08-27,99,20302,2552,,,,,,
2020-08-28,104,20406,2553,,,,,,
2020-08-29,95,20501,2553,,,,,,
2020-08-30,102,20603,2553,,,,,,
2020-08-31,144,20747,2553,,,,,,
2020-09-01,199,20946,2553,,,,,,
2020-09-02,191,21137,2554,,,,,,
2020-09-03,201,21338,2555,,,,,,
2020-09-04,171,21509,2556,,,,,,
2020-09-05,136,21645,2556,,,,,,
2020-09-06,153,21798,2556,,,,,,
2020-09-07,167,21965,2556,,,,,,
2020-09-08,102,22067,2556,,,,,,
2020-09-09,222,22289,2556,,,,,,
2020-09-10,216,22505,2556,,,,,,
2020-09-11,209,22714,2556,,,,,,
2020-09-12,207,22921,2556,,,,,,
2020-09-13,166,23087,2557,,,,,,
2020-09-14,177,23264,2560,,,,,,
2020-09-15,227,23491,2560,,,,,,
2020-09-16,268,23759,2560,,,,,,
2020-09-17,254,24013,2561,,,,,,
2020-09-18,269,24282,2563,,,,,,
2020-09-19,232,24514,2563,,,,,,
2020-09-20,315,24829,2566,,,,,,
2020-09-21,454,25283,2568,,,,,,
2020-09-22,493,25776,2570,,,,,,
2020-09-23,567,26343,2572,,,,,,
2020-09-24,715,27058,2574,,,,,,
2020-09-25,578,27636,2575,,,,,,
2020-09-26,434,28070,2577,,,,,,
2020-09-27,358,28428,2579,,,,,,
2020-09-28,623,29051,2582,,,,,,
2020-09-29,659,29710,2583,,,,,,
2020-09-30,794,30504,2587,,,,,,
2020-10-01,778,31282,2592,,,,,,
2020-10-02,817,32099,2593,,,,,,
2020-10-03,695,32794,2596,,,,,,
2020-10-04,742,33536,2599,,,,,,
2020-10-05,1099,34635,2601,,,,,,
2020-10-06,1190,35825,2605,,,,,,
2020-10-07,1253,37078,2614,,,,,,
2020-10-08,1169,38247,2625,,,,,,
2020-10-09,1093,39340,2631,,,,,,
2020-10-10,941,40281,2642,,,,,,
2020-10-11,959,41240,2653,,,,,,
2020-10-12,1354,42594,2661,,,,,,
2020-10-13,1421,44015,2673,,,,,,
2020-10-14,1292,45307,2679,,,,,,
2020-10-15,1292,46599,2695,,,,,,
2020-10-16,1252,47851,2715,,,,,,
2020-10-17,855,48706,2725,,,,,,
2020-10-18,833,49539,2747,,,,,,
2020-10-19,1359,50898,2763,,,,,,
2020-10-20,1690,52588,2782,,,,,,
2020-10-21,1579,54167,2793,,,,,,
2020-10-22,1491,55658,2810,,,,,,
2020-10-23,1280,56938,2828,,,,,,
2020-10-24,953,57891,2848,,,,,,
2020-10-25,939,58830,2871,,,,,,
2020-10-26,1345,60175,2902,,,,,,
2020-10-27,1305,61480,2918,,,,,,
2020-10-28,1266,62746,2947,,,,,,
2020-10-29,1098,63844,2976,,,,,,
2020-10-30,1088,64932,3011,,,,,,
2020-10-31,742,65674,3035,,,,,,
2020-11-01,969,66643,3070,,,,,,
2020-11-02,1474,68117,3100,,,,,,
2020-11-03,1392,69509,3135,,,,,,
2020-11-04,1301,70810,3154,,,,,,
2020-11-05,1295,72105,3195,,,,,,
2020-11-06,1134,73239,3222,,,,,,
2020-11-07,842,74081,3259,,,,,,
2020-11-08,873,74954,3295,,,,,,
2020-11-09,1296,76250,3337,,,,,,
2020-11-10,1287,77537,3373,,,,,,
2020-11-11,1247,78784,3410,,,,,,
2020-11-12,1195,79979,3442,,,,,,
2020-11-13,1054,81033,3480,,,,,,
2020-11-14,903,81936,3521,,,,,,
2020-11-15,817,82753,3555,,,,,,
2020-11-16,1277,84030,3588,,,,,,
2020-11-17,1225,85255,3624,,,,,,
2020-11-18,1113,86368,3648,,,,,,
2020-11-19,984,87352,3673,,,,,,
2020-11-20,860,88212,3702,,,,,,
2020-11-21,764,88976,3735,,,,,,
2020-11-22,709,89685,3771,,,,,,
2020-11-23,1156,90841,3802,,,,,,
2020-11-24,994,91835,3832,,,,,,
2020-11-25,932,92767,3864,,,,,,
2020-11-26,804,93571,3887,,,,,,
2020-11-27,738,94309,3911,,,,,,
2020-11-28,572,94881,3952,,,,,,
2020-11-29,558,95439,3980,,,,,,
2020-11-30,973,96412,4012,,,,,,
2020-12-01,932,97344,4039,,,,,,
2020-12-02,951,98295,4059,,,,,,
2020-12-03,805,99100,4095,,,,,,
2020-12-04,649,99749,4124,,,,,,
2020-12-05,666,100415,4143,,,,,,
2020-12-06,643,101058,4172,,,,,,
2020-12-07,955,102013,4201,,,,,,
2020-12-08,1046,103059,4229,,,,,,
