Date,CA,CAName,DailyPositive,CumulativePositive,DailyPositivePCROnly,CumulativePositivePCROnly,DailyPositiveLFDOnly,CumulativePositiveLFDOnly,DailyPositivePCRAndLFD,CumulativePositivePCRAndLFD,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,PositiveTests,PositiveTestsLFDOnly,PositivePillar1,PositivePillar2
2020-02-28,S12000041,Angus,1,1,,,,,,,0,0,0.0,2,,2.0,0.0
2020-02-29,S12000041,Angus,0,1,,,,,,,0,0,0.0,0,,,
2020-03-01,S12000005,Clackmannanshire,1,1,,,,,,,0,0,0.0,1,,1.0,0.0
2020-03-01,S12000020,Moray,1,1,,,,,,,0,0,0.0,1,,1.0,0.0
2020-03-01,S12000041,Angus,0,1,,,,,,,0,0,0.0,0,,,
2020-03-02,S12000005,Clackmannanshire,0,1,,,,,,,0,0,0.0,0,,,
2020-03-02,S12000020,Moray,0,1,,,,,,,0,0,0.0,0,,,
2020-03-02,S12000021,North Ayrshire,1,1,,,,,,,0,0,0.0,1,,1.0,0.0
2020-03-02,S12000041,Angus,0,1,,,,,,,0,0,0.0,3,,3.0,0.0
2020-03-03,S12000005,Clackmannanshire,1,2,,,,,,,0,0,0.0,1,,1.0,0.0
2020-03-03,S12000020,Moray,0,1,,,,,,,0,0,0.0,0,,,
2020-03-03,S12000021,North Ayrshire,0,1,,,,,,,0,0,0.0,0,,,
2020-03-03,S12000034,Aberdeenshire,1,1,,,,,,,0,0,0.0,1,,1.0,0.0
2020-03-03,S12000039,West Dunbartonshire,1,1,,,,,,,0,0,0.0,2,,2.0,0.0
2020-03-03,S12000041,Angus,0,1,,,,,,,0,0,0.0,2,,2.0,0.0
2020-03-04,S12000005,Clackmannanshire,0,2,,,,,,,0,0,0.0,2,,2.0,0.0
2020-03-04,S12000014,Falkirk,1,1,,,,,,,0,0,0.0,2,,2.0,0.0
2020-03-04,S12000020,Moray,1,2,,,,,,,0,0,0.0,1,,1.0,0.0
2020-03-04,S12000021,North Ayrshire,0,1,,,,,,,0,0,0.0,1,,1.0,0.0
