Date,HB,HBName,DailyPositive,CumulativePositive,DailyPositivePCROnly,CumulativePositivePCROnly,DailyPositiveLFDOnly,CumulativePositiveLFDOnly,DailyPositivePCRAndLFD,CumulativePositivePCRAndLFD,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,PositiveTests,PositiveTestsLFDOnly,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
2020-02-28,S92000003,Scotland,1,1,,,,,,,0,0,0.0,2,,,:,,:,2.0,0.0
2020-02-29,S92000003,Scotland,0,1,,,,,,,0,0,0.0,0,,,:,,:,,
2020-03-01,S92000003,Scotland,2,3,,,,,,,0,0,0.0,2,,7.0,,,:,2.0,0.0
2020-03-02,S92000003,Scotland,1,4,,,,,,,0,0,0.0,4,,11.0,,,:,4.0,0.0
2020-03-03,S92000003,Scotland,3,7,,,,,,,0,0,0.0,6,,13.0,,,:,6.0,0.0
2020-03-04,S92000003,Scotland,6,13,,,,,,,0,0,0.0,10,,10.0,,,:,10.0,0.0
2020-03-05,S92000003,Scotland,2,15,,,,,,,0,0,0.0,8,,20.0,,,:,8.0,0.0
2020-03-06,S92000003,Scotland,6,21,,,,,,,0,0,0.0,12,,21.0,,,:,12.0,0.0
2020-03-07,S92000003,Scotland,6,27,,,,,,,0,0,0.0,17,,10.0,,,:,17.0,0.0
2020-03-08,S92000003,Scotland,3,30,,,,,,,0,0,0.0,17,,11.0,,,:,17.0,0.0
2020-03-09,S92000003,Scotland,16,46,,,,,,,0,0,0.0,39,,18.0,,,:,39.0,0.0
2020-03-10,S92000003,Scotland,21,67,,,,,,,0,0,0.0,47,,30.0,,,:,47.0,0.0
2020-03-11,S92000003,Scotland,25,92,,,,,,,0,0,0.0,58,,29.0,,1.0,,58.0,0.0
2020-03-12,S92000003,Scotland,38,130,,,,,,,1,1,0.0182949140139041,80,,25.0,,0.0,,80.0,0.0
2020-03-13,S92000003,Scotland,48,178,,,,,,,0,1,0.0182949140139041,80,,25.0,,0.0,,80.0,0.0
2020-03-14,S92000003,Scotland,19,197,,,,,,,2,3,0.0548847420417124,20,,22.0,,1.0,,20.0,0.0
2020-03-15,S92000003,Scotland,12,209,,,,,,,0,3,0.0548847420417124,28,,16.0,,1.0,,28.0,0.0
2020-03-16,S92000003,Scotland,21,230,,,,,,,1,4,0.0731796560556165,35,,33.0,,3.0,,35.0,0.0
2020-03-17,S92000003,Scotland,43,273,,,,,,,2,6,0.1097694840834248,62,,44.0,,1.0,,62.0,0.0
2020-03-18,S92000003,Scotland,41,314,,,,,,,0,6,0.1097694840834248,56,,43.0,,3.0,,56.0,0.0
2020-03-19,S92000003,Scotland,50,364,,,,,,,3,9,0.1646542261251372,61,,42.0,,4.0,,61.0,0.0
2020-03-20,S92000003,Scotland,84,448,,,,,,,5,14,0.2561287961946579,97,,73.0,,8.0,,97.0,0.0
2020-03-21,S92000003,Scotland,67,515,,,,,,,6,20,0.3658982802780827,81,,63.0,,6.0,,81.0,0.0
2020-03-22,S92000003,Scotland,74,589,,,,,,,5,25,0.4573728503476034,90,,52.0,,8.0,,90.0,0.0
2020-03-23,S92000003,Scotland,138,727,,,,,,,4,29,0.5305525064032199,164,,96.0,,12.0,,164.0,0.0
2020-03-24,S92000003,Scotland,167,894,,,,,,,7,36,0.6586169045005489,206,,96.0,,10.0,,206.0,0.0
2020-03-25,S92000003,Scotland,188,1082,,,,,,,11,47,0.8598609586534943,251,,125.0,,13.0,,251.0,0.0
2020-03-26,S92000003,Scotland,223,1305,,,,,,,12,59,1.079399926820344,269,,155.0,,15.0,,269.0,0.0
2020-03-27,S92000003,Scotland,274,1579,,,,,,,11,70,1.2806439809732897,322,,150.0,,16.0,,322.0,0.0
2020-03-28,S92000003,Scotland,204,1783,,,,,,,29,99,1.8111964873765092,259,,156.0,,17.0,,259.0,0.0
2020-03-29,S92000003,Scotland,197,1980,,,,,,,20,119,2.177094767654592,262,,136.0,,28.0,,262.0,0.0
2020-03-30,S92000003,Scotland,317,2297,,,,,,,30,149,2.725942188071716,383,,192.0,,22.0,,383.0,0.0
2020-03-31,S92000003,Scotland,341,2638,,,,,,,38,187,3.421148920600073,399,,184.0,,18.0,,399.0,0.0
2020-04-01,S92000003,Scotland,389,3027,,,,,,,46,233,4.262714965239663,455,,214.0,,24.0,,455.0,0.0
2020-04-02,S92000003,Scotland,351,3378,,,,,,,36,269,4.921331869740213,416,,171.0,,18.0,,416.0,0.0
2020-04-03,S92000003,Scotland,381,3759,,,,,,,58,327,5.9824368825466525,467,,213.0,,27.0,,467.0,0.0
2020-04-04,S92000003,Scotland,261,4020,,,,,,,28,355,6.494694474935968,328,,154.0,,21.0,,327.0,1.0
2020-04-05,S92000003,Scotland,225,4245,,,,,,,47,402,7.3545554335894625,294,,161.0,,25.0,,294.0,0.0
2020-04-06,S92000003,Scotland,404,4649,,,,,,,63,465,8.507135016465423,522,,203.0,,15.0,,522.0,0.0
2020-04-07,S92000003,Scotland,352,5001,,,,,,,49,514,9.403585803146726,449,,171.0,,16.0,,449.0,0.0
2020-04-08,S92000003,Scotland,343,5344,,,,,,,54,568,10.391511159897547,417,,158.0,,13.0,,417.0,0.0
2020-04-09,S92000003,Scotland,304,5648,,,,,,,66,634,11.59897548481522,389,,130.0,,12.0,,389.0,0.0
2020-04-10,S92000003,Scotland,329,5977,,,,,,,58,692,12.660080497621662,403,,119.0,,8.0,,403.0,0.0
2020-04-11,S92000003,Scotland,185,6162,,,,,,,50,742,13.574826198316869,261,,80.0,,9.0,,261.0,0.0
2020-04-12,S92000003,Scotland,220,6382,,,,,,,48,790,14.452982070984266,294,,85.0,,8.0,,294.0,0.0
2020-04-13,S92000003,Scotland,359,6741,,,,,,,41,831,15.203073545554336,429,,104.0,,8.0,,429.0,0.0
2020-04-14,S92000003,Scotland,346,7087,,,,,,,51,882,16.136114160263446,438,,102.0,,6.0,,438.0,0.0
2020-04-15,S92000003,Scotland,331,7418,,,,,,,42,924,16.90450054884742,399,,98.0,,6.0,,399.0,0.0
2020-04-16,S92000003,Scotland,428,7846,,,,,,,43,967,17.6911818514453,513,,99.0,,9.0,,512.0,1.0
2020-04-17,S92000003,Scotland,394,8240,,,,,,,38,1005,18.386388583973652,462,,110.0,,5.0,,462.0,0.0
2020-04-18,S92000003,Scotland,264,8504,,,,,,,52,1057,19.33772411269667,323,,74.0,,7.0,,323.0,0.0
2020-04-19,S92000003,Scotland,159,8663,,,,,,,46,1103,20.17929015733626,220,,59.0,,8.0,,220.0,0.0
2020-04-20,S92000003,Scotland,348,9011,,,,,,,61,1164,21.29527991218441,442,,65.0,,5.0,,442.0,0.0
