date,areaType,areaName,areaCode,hospitalCases
2021-12-13,nation,Scotland,S92000003,561
2021-12-12,nation,Scotland,S92000003,541
2021-12-11,nation,Scotland,S92000003,552
2021-12-10,nation,Scotland,S92000003,573
2021-12-09,nation,Scotland,S92000003,578
2021-12-08,nation,Scotland,S92000003,581
2021-12-07,nation,Scotland,S92000003,576
2021-12-06,nation,Scotland,S92000003,591
2021-12-05,nation,Scotland,S92000003,583
2021-12-04,nation,Scotland,S92000003,605
2021-12-03,nation,Scotland,S92000003,652
2021-12-02,nation,Scotland,S92000003,680
2021-12-01,nation,Scotland,S92000003,702
2021-11-30,nation,Scotland,S92000003,706
2021-11-29,nation,Scotland,S92000003,715
2021-11-28,nation,Scotland,S92000003,709
2021-11-27,nation,Scotland,S92000003,727
2021-11-26,nation,Scotland,S92000003,734
2021-11-25,nation,Scotland,S92000003,721
2021-11-24,nation,Scotland,S92000003,708
2021-11-23,nation,Scotland,S92000003,743
2021-11-22,nation,Scotland,S92000003,750
2021-11-21,nation,Scotland,S92000003,752
2021-11-20,nation,Scotland,S92000003,792
2021-11-19,nation,Scotland,S92000003,785
2021-11-18,nation,Scotland,S92000003,786
2021-11-17,nation,Scotland,S92000003,774
2021-11-16,nation,Scotland,S92000003,779
2021-11-15,nation,Scotland,S92000003,771
2021-11-14,nation,Scotland,S92000003,759
2021-11-13,nation,Scotland,S92000003,773
2021-11-12,nation,Scotland,S92000003,759
2021-11-11,nation,Scotland,S92000003,773
2021-11-10,nation,Scotland,S92000003,790
2021-11-09,nation,Scotland,S92000003,764
2021-11-08,nation,Scotland,S92000003,788
2021-11-07,nation,Scotland,S92000003,802
2021-11-06,nation,Scotland,S92000003,832
2021-11-05,nation,Scotland,S92000003,851
2021-11-04,nation,Scotland,S92000003,904
2021-11-03,nation,Scotland,S92000003,942
2021-11-02,nation,Scotland,S92000003,939
2021-11-01,nation,Scotland,S92000003,932
2021-10-31,nation,Scotland,S92000003,910
2021-10-30,nation,Scotland,S92000003,927
2021-10-29,nation,Scotland,S92000003,932
2021-10-28,nation,Scotland,S92000003,932
2021-10-27,nation,Scotland,S92000003,925
2021-10-26,nation,Scotland,S92000003,917
2021-10-25,nation,Scotland,S92000003,902
2021-10-24,nation,Scotland,S92000003,899
2021-10-23,nation,Scotland,S92000003,896
2021-10-22,nation,Scotland,S92000003,894
2021-10-21,nation,Scotland,S92000003,917
2021-10-20,nation,Scotland,S92000003,890
2021-10-19,nation,Scotland,S92000003,869
2021-10-18,nation,Scotland,S92000003,857
2021-10-17,nation,Scotland,S92000003,829
2021-10-16,nation,Scotland,S92000003,841
2021-10-15,nation,Scotland,S92000003,848
2021-10-14,nation,Scotland,S92000003,908
2021-10-13,nation,Scotland,S92000003,918
2021-10-12,nation,Scotland,S92000003,935
2021-10-11,nation,Scotland,S92000003,933
2021-10-10,nation,Scotland,S92000003,935
2021-10-09,nation,Scotland,S92000003,943
2021-10-08,nation,Scotland,S92000003,957
2021-10-07,nation,Scotland,S92000003,980
2021-10-06,nation,Scotland,S92000003,988
2021-10-05,nation,Scotland,S92000003,998
2021-10-04,nation,Scotland,S92000003,1001
2021-10-03,nation,Scotland,S92000003,965
2021-10-02,nation,Scotland,S92000003,965
2021-10-01,nation,Scotland,S92000003,983
2021-09-30,nation,Scotland,S92000003,998
2021-09-29,nation,Scotland,S92000003,1020
2021-09-28,nation,Scotland,S92000003,1026
2021-09-27,nation,Scotland,S92000003,1023
2021-09-26,nation,Scotland,S92000003,1003
2021-09-25,nation,Scotland,S92000003,1004
2021-09-24,nation,Scotland,S92000003,1011
2021-09-23,nation,Scotland,S92000003,1057
2021-09-22,nation,Scotland,S92000003,1076
2021-09-21,nation,Scotland,S92000003,1107
2021-09-20,nation,Scotland,S92000003,1088
2021-09-19,nation,Scotland,S92000003,1074
2021-09-18,nation,Scotland,S92000003,1051
2021-09-17,nation,Scotland,S92000003,1037
2021-09-16,nation,Scotland,S92000003,1054
2021-09-15,nation,Scotland,S92000003,1079
2021-09-14,nation,Scotland,S92000003,1065
2021-09-13,nation,Scotland,S92000003,1048
2021-09-12,nation,Scotland,S92000003,1023
2021-09-11,nation,Scotland,S92000003,984
2021-09-10,nation,Scotland,S92000003,977
2021-09-09,nation,Scotland,S92000003,928
2021-09-08,nation,Scotland,S92000003,883
2021-09-07,nation,Scotland,S92000003,805
2021-09-06,nation,Scotland,S92000003,771
2021-09-05,nation,Scotland,S92000003,719
2021-09-04,nation,Scotland,S92000003,670
2021-09-03,nation,Scotland,S92000003,653
2021-09-02,nation,Scotland,S92000003,624
2021-09-01,nation,Scotland,S92000003,629
2021-08-31,nation,Scotland,S92000003,585
2021-08-30,nation,Scotland,S92000003,551
2021-08-29,nation,Scotland,S92000003,507
2021-08-28,nation,Scotland,S92000003,494
2021-08-27,nation,Scotland,S92000003,479
2021-08-26,nation,Scotland,S92000003,426
2021-08-25,nation,Scotland,S92000003,391
2021-08-24,nation,Scotland,S92000003,364
2021-08-23,nation,Scotland,S92000003,356
2021-08-22,nation,Scotland,S92000003,338
2021-08-21,nation,Scotland,S92000003,323
2021-08-20,nation,Scotland,S92000003,312
2021-08-19,nation,Scotland,S92000003,317
2021-08-18,nation,Scotland,S92000003,324
2021-08-17,nation,Scotland,S92000003,338
2021-08-16,nation,Scotland,S92000003,337
2021-08-15,nation,Scotland,S92000003,331
2021-08-14,nation,Scotland,S92000003,337
2021-08-13,nation,Scotland,S92000003,353
2021-08-12,nation,Scotland,S92000003,356
2021-08-11,nation,Scotland,S92000003,356
2021-08-10,nation,Scotland,S92000003,352
2021-08-09,nation,Scotland,S92000003,356
2021-08-08,nation,Scotland,S92000003,360
2021-08-07,nation,Scotland,S92000003,360
2021-08-06,nation,Scotland,S92000003,367
2021-08-05,nation,Scotland,S92000003,381
2021-08-04,nation,Scotland,S92000003,383
2021-08-03,nation,Scotland,S92000003,406
2021-08-02,nation,Scotland,S92000003,407
2021-08-01,nation,Scotland,S92000003,422
2021-07-31,nation,Scotland,S92000003,444
2021-07-30,nation,Scotland,S92000003,462
2021-07-29,nation,Scotland,S92000003,490
2021-07-28,nation,Scotland,S92000003,474
2021-07-27,nation,Scotland,S92000003,472
