Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2,DailyCases,CumulativeCases,Deaths
2020-02-28,S92000003,Scotland,1,1,0.0182949140139041,,0,0,0.0,121,704,12.879619465788512,164,2,1.2195121951219512,,164,0,,:,,:,2,0,1,1,0
2020-02-29,S92000003,Scotland,0,1,0.0182949140139041,,0,0,0.0,63,767,14.032199048664472,90,0,0.0,,90,0,,:,,:,0,0,0,1,0
2020-03-01,S92000003,Scotland,2,3,0.0548847420417124,,0,0,0.0,72,839,15.349432857665567,92,2,2.1739130434782608,,92,0,6.0,,,:,2,0,2,3,0
2020-03-02,S92000003,Scotland,1,4,0.0731796560556165,,0,0,0.0,190,1029,18.825466520307355,264,4,1.5151515151515151,,264,0,11.0,,,:,4,0,1,4,0
2020-03-03,S92000003,Scotland,3,7,0.1280643980973289,,0,0,0.0,209,1238,22.64910354921332,288,6,2.083333333333333,,288,0,13.0,,,:,6,0,3,7,0
2020-03-04,S92000003,Scotland,6,13,0.2378338821807537,,0,0,0.0,177,1415,25.88730332967436,255,10,3.92156862745098,,255,0,10.0,,,:,10,0,6,13,0
2020-03-05,S92000003,Scotland,2,15,0.274423710208562,0.274423710208562,0,0,0.0,179,1594,29.16209293816319,266,8,3.007518796992481,2.255109231853418,266,0,19.0,,,:,8,0,2,15,0
2020-03-06,S92000003,Scotland,6,21,0.3841931942919868,0.3658982802780827,0,0,0.0,196,1790,32.7478960848884,324,12,3.7037037037037033,2.6599113362887903,324,0,21.0,,,:,12,0,6,21,0
2020-03-07,S92000003,Scotland,6,27,0.4939626783754116,0.4756677643615075,0,0,0.0,122,1912,34.979875594584705,218,17,7.79816513761468,3.456356180433509,218,0,10.0,,,:,17,0,6,27,0
2020-03-08,S92000003,Scotland,3,30,0.5488474204171241,0.4939626783754116,0,0,0.0,110,2022,36.99231613611416,192,17,8.854166666666668,4.095185390149418,192,0,11.0,,,:,17,0,3,30,0
2020-03-09,S92000003,Scotland,16,46,0.8415660446395901,0.7683863885839736,0,0,0.0,273,2295,41.98682766190999,453,39,8.609271523178808,5.460921843687375,453,0,18.0,,,:,39,0,16,46,0
2020-03-10,S92000003,Scotland,21,67,1.225759238931577,1.0976948408342482,0,0,0.0,353,2648,48.44493230881815,588,47,7.993197278911565,6.533101045296168,588,0,30.0,,,:,47,0,21,67,0
2020-03-11,S92000003,Scotland,25,92,1.68313208927918,1.4452982070984266,0,0,0.0,418,3066,56.09220636663008,741,58,7.827260458839406,7.117181883537024,741,0,29.0,,1.0,,58,0,25,92,0
